File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\lib\reprconf.py,dict.__repr__(self),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\sessiondemo.py,twodigit(d),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\sessiondemo.py,formattime(t),8,8,7,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\sessiondemo.py,interval(s),11,10,10,2,0,0,1,10,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\sessiondemo.py,init(),26,19,17,3,4,0,3,34,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_core.py,cls(),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test\test_xmlrpc.py,"list(('here', 'is', 1, 'tuple')))         self.assertEqual(proxy.return_dict()",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib\reprconf.py,dict.__repr__(self),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\sessiondemo.py,twodigit(d),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\sessiondemo.py,formattime(t),8,8,7,1,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\sessiondemo.py,interval(s),11,10,10,2,0,0,1,10,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\sessiondemo.py,init(),26,19,17,3,4,0,3,34,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_core.py,cls(),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test\test_xmlrpc.py,"list(('here', 'is', 1, 'tuple')))         self.assertEqual(proxy.return_dict()",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\client\test\client_api_test.py,len(child.keys() ),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\client\test\client_api_test.py,"re.search(expected, path)",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\client\test\client_api_test.py,config_str.strip('\n'),10,8,4,0,2,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\mako\parsetree.py,m.group(1))                     else:                         if x:                             expr.append(repr(x),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\mako\_ast_util.py,"']')     visit_GeneratorExp = generator_visit('(', ')",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\command\csv_import_cmd.py,id.strip(),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\common\common.py,'''!@$%^&*(),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\service\api_xmlrpc.py,"%(search_key, context, version)",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\web\asset_history_wdg.py,"%(my.base_search_type, my.CB_NAME)",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\prod\web\asset_loader_wdg.py,"SpanWdg(update_sel_button, css='small')",2,2,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\search\search.py,"language='python'):         '''gets all the values for this sobject in a dictionary form, this mimics the one in API-XMLRPC'''           if not columns:             columns = SearchType.get_columns(my.get_search_type()",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\security\security_test.py,test_string2)      def _test_access_level(my):         security = Environment.get_security()         from pyasm.security import get_security_version         security_version = get_security_version()           projects = Search.eval('@SOBJECT(sthpw/project),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\creator_wdg.py,"append_item(select_name, new_item, new_item_extra)",27,23,2,7,3,0,1,4,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\creator_wdg.py,drop_item(select_name),20,17,2,3,3,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\gantt_wdg.py,%(e_month*month_unit + (diff_day + 1)*day_unit),1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\input_wdg.py,"%(my.UPLOAD_ID,my.name)",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\naming_wdg.py,"snapshot.version( ""%0.3d"" )",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\pyasm\widget\naming_wdg.py,"snapshot.revision( ""%0.3d"" )",1,1,1,0,0,0,0,0,
